Date,Temperature,Humidity,Precipitation
2024-01-01,17.21,60.68,0.0
2024-01-02,14.71,72.9,1.17
2024-01-03,17.89,54.58,0.0
2024-01-04,21.43,74.84,5.15
2024-01-05,14.45,73.53,0.0
2024-01-06,14.5,71.77,1.66
2024-01-07,21.81,74.3,0.0
2024-01-08,18.61,81.2,0.0
2024-01-09,13.72,78.19,0.0
2024-01-10,17.83,53.5,0.0
2024-01-11,13.87,59.77,14.69
2024-01-12,13.93,64.98,0.0
2024-01-13,16.83,68.89,0.41
2024-01-14,8.28,76.67,0.17
2024-01-15,9.1,66.35,0.32
2024-01-16,13.83,71.52,0.0
2024-01-17,12.11,64.76,0.0
2024-01-18,17.5,63.48,24.38
2024-01-19,12.69,59.28,0.0
2024-01-20,10.76,64.02,0.0
2024-01-21,22.36,55.37,8.85
2024-01-22,15.69,61.38,6.17
2024-01-23,16.96,77.05,1.23
2024-01-24,11.09,63.67,0.0
2024-01-25,14.71,90.69,6.76
2024-01-26,17.43,72.35,0.0
2024-01-27,12.49,72.11,0.0
2024-01-28,18.7,60.97,2.79
2024-01-29,14.9,75.15,0.0
2024-01-30,16.25,64.33,0.0
2024-01-31,15.12,70.42,0.0
2024-02-01,25.05,85.46,15.97
2024-02-02,17.71,67.51,2.69
2024-02-03,13.65,79.3,0.98
2024-02-04,21.3,61.04,16.29
2024-02-05,13.25,70.01,0.0
2024-02-06,19.09,81.83,0.0
2024-02-07,10.54,66.49,0.0
2024-02-08,13.2,84.81,0.0
2024-02-09,19.43,73.17,0.0
2024-02-10,21.73,61.97,1.84
2024-02-11,19.6,72.49,0.0
2024-02-12,18.59,75.66,0.0
2024-02-13,17.99,73.13,0.0
2024-02-14,13.42,57.65,0.0
2024-02-15,,62.96,7.17
2024-02-16,17.78,66.27,0.0
2024-02-17,23.99,64.86,0.0
2024-02-18,21.29,71.64,2.76
2024-02-19,13.01,71.82,0.0
2024-02-20,21.51,55.89,0.0
2024-02-21,18.82,70.82,0.0
2024-02-22,17.81,73.12,2.55
2024-02-23,23.12,70.32,7.91
2024-02-24,24.95,73.67,3.72
2024-02-25,24.71,71.8,0.0
2024-02-26,17.79,71.92,0.3
2024-02-27,20.07,66.66,0.0
2024-02-28,22.79,52.71,0.0
2024-02-29,25.53,68.2,0.0
2024-03-01,19.87,68.97,0.0
2024-03-02,21.21,68.88,0.0
2024-03-03,17.69,58.08,1.39
2024-03-04,17.5,59.73,1.24
2024-03-05,25.7,73.11,0.0
2024-03-06,28.04,63.32,0.0
2024-03-07,22.49,71.58,0.0
2024-03-08,26.96,64.34,0.0
2024-03-09,24.56,65.43,0.81
2024-03-10,20.71,74.44,0.0
2024-03-11,24.9,60.92,17.63
2024-03-12,29.78,63.62,0.0
2024-03-13,23.65,,0.0
2024-03-14,30.23,59.17,0.0
2024-03-15,13.66,67.63,0.0
2024-03-16,27.6,65.61,0.0
2024-03-17,24.83,61.25,1.89
2024-03-18,23.46,75.74,0.0
2024-03-19,25.19,57.76,3.83
2024-03-20,17.05,67.08,0.0
2024-03-21,24.29,61.8,0.0
2024-03-22,26.77,75.78,0.0
2024-03-23,31.43,63.68,1.39
2024-03-24,23.61,73.88,0.0
2024-03-25,22.63,54.18,3.45
2024-03-26,24.02,67.58,0.0
2024-03-27,29.86,69.93,1.75
2024-03-28,27.69,64.45,0.0
2024-03-29,24.42,73.78,10.04
2024-03-30,28.77,59.17,5.87
2024-03-31,27.27,75.25,0.62
2024-04-01,30.93,80.72,0.0
2024-04-02,24.41,62.36,0.0
2024-04-03,26.08,60.95,0.0
2024-04-04,25.99,76.18,1.8
2024-04-05,21.87,79.05,0.0
2024-04-06,29.07,58.99,2.78
2024-04-07,29.09,59.8,0.0
2024-04-08,28.23,61.29,0.0
2024-04-09,27.44,53.15,0.0
2024-04-10,22.88,58.61,4.55
2024-04-11,27.01,56.06,3.3
2024-04-12,27.49,57.74,0.66
2024-04-13,25.81,64.36,0.0
2024-04-14,28.53,65.29,15.35
2024-04-15,30.94,74.73,4.37
2024-04-16,37.03,51.6,0.0
2024-04-17,30.33,70.47,6.2
2024-04-18,30.82,60.67,15.5
2024-04-19,29.64,62.52,4.94
2024-04-20,22.41,71.56,2.89
2024-04-21,30.13,53.71,0.0
2024-04-22,30.62,65.53,0.0
2024-04-23,40.38,59.41,8.63
2024-04-24,29.9,66.74,0.0
2024-04-25,32.01,64.16,2.15
2024-04-26,30.81,82.03,7.16
2024-04-27,26.41,59.26,10.57
2024-04-28,35.79,55.9,3.1
2024-04-29,34.36,55.8,0.0
2024-04-30,34.65,56.21,
2024-05-01,27.98,58.56,0.0
2024-05-02,37.36,68.95,0.0
2024-05-03,26.26,75.8,0.0
2024-05-04,34.34,56.23,0.0
2024-05-05,40.88,51.2,8.77
2024-05-06,28.27,67.3,8.88
2024-05-07,30.09,58.29,0.0
2024-05-08,32.87,66.52,0.0
2024-05-09,30.57,64.12,6.59
2024-05-10,26.49,52.2,0.0
2024-05-11,33.08,73.75,0.0
2024-05-12,28.66,77.72,0.0
2024-05-13,34.91,55.64,3.24
2024-05-14,29.44,59.9,0.0
2024-05-15,39.41,60.8,5.29
2024-05-16,30.18,65.35,0.0
2024-05-17,32.12,67.07,0.0
2024-05-18,36.75,75.79,0.0
2024-05-19,28.66,61.94,0.0
2024-05-20,34.58,54.3,4.89
2024-05-21,38.99,47.67,1.58
2024-05-22,27.41,58.07,0.12
2024-05-23,34.66,60.39,2.48
2024-05-24,35.04,74.84,9.03
2024-05-25,37.2,55.37,1.14
2024-05-26,29.19,64.9,5.32
2024-05-27,28.93,63.1,0.0
2024-05-28,36.36,69.39,0.0
2024-05-29,35.53,80.48,0.0
2024-05-30,35.4,56.07,1.39
2024-05-31,35.84,56.21,0.0
2024-06-01,31.79,70.3,0.0
2024-06-02,35.49,65.73,6.45
2024-06-03,35.78,74.92,6.51
2024-06-04,31.8,66.61,26.19
2024-06-05,42.16,54.4,0.0
2024-06-06,36.64,64.49,2.31
2024-06-07,30.01,71.61,0.0
2024-06-08,37.44,65.97,0.0
2024-06-09,30.95,66.38,0.0
2024-06-10,38.02,67.67,0.0
2024-06-11,39.53,67.81,0.0
2024-06-12,31.64,73.07,12.41
2024-06-13,38.8,63.98,0.0
2024-06-14,36.61,58.44,3.09
2024-06-15,38.26,60.21,0.0
2024-06-16,42.57,66.74,0.0
2024-06-17,34.01,54.41,0.0
2024-06-18,31.98,64.81,0.0
2024-06-19,31.44,58.95,9.28
2024-06-20,31.74,62.2,0.0
2024-06-21,34.69,70.87,0.0
2024-06-22,36.35,61.42,0.0
2024-06-23,36.09,60.38,0.0
2024-06-24,38.28,48.15,4.57
2024-06-25,35.0,66.47,0.0
2024-06-26,40.75,63.08,2.18
2024-06-27,33.85,78.32,1.56
2024-06-28,45.77,53.19,7.58
2024-06-29,37.36,61.19,2.83
2024-06-30,31.4,64.11,8.15
2024-07-01,30.51,75.14,1.81
2024-07-02,36.69,58.98,4.03
2024-07-03,33.83,63.26,0.0
2024-07-04,37.54,64.22,0.0
2024-07-05,36.53,61.31,0.0
2024-07-06,,57.25,12.78
2024-07-07,31.15,63.79,1.94
2024-07-08,28.42,72.05,0.0
2024-07-09,32.64,53.35,2.88
2024-07-10,37.79,60.31,0.0
2024-07-11,35.16,54.83,0.0
2024-07-12,29.26,72.64,4.29
2024-07-13,34.87,48.37,0.0
2024-07-14,35.65,55.74,0.0
2024-07-15,30.5,65.54,1.37
2024-07-16,34.57,73.22,0.21
2024-07-17,34.11,60.37,0.0
2024-07-18,29.23,58.66,6.97
2024-07-19,35.15,75.48,0.0
2024-07-20,35.87,48.52,0.0
2024-07-21,37.88,41.62,0.0
2024-07-22,37.67,62.82,0.78
2024-07-23,27.85,59.7,0.0
2024-07-24,29.51,54.8,5.62
2024-07-25,35.23,66.07,0.15
2024-07-26,35.12,62.4,1.47
2024-07-27,35.02,55.98,0.0
2024-07-28,48.27,44.29,7.26
2024-07-29,35.03,67.47,0.0
2024-07-30,37.18,64.72,0.0
2024-07-31,36.34,59.1,0.0
2024-08-01,35.02,75.27,0.0
2024-08-02,31.03,53.72,0.42
2024-08-03,35.21,48.2,0.0
2024-08-04,28.96,57.68,0.0
2024-08-05,30.99,61.94,0.66
2024-08-06,29.87,64.76,0.0
2024-08-07,32.01,59.92,2.01
2024-08-08,40.81,60.7,0.0
2024-08-09,23.95,55.46,1.98
2024-08-10,34.03,72.49,0.77
2024-08-11,24.7,64.48,0.0
2024-08-12,29.13,72.08,0.0
2024-08-13,35.23,63.14,0.0
2024-08-14,30.99,65.96,4.39
2024-08-15,26.28,68.98,0.0
2024-08-16,27.59,67.42,0.0
2024-08-17,33.03,66.53,0.0
2024-08-18,27.24,74.63,0.0
2024-08-19,30.88,63.93,0.0
2024-08-20,30.05,68.4,10.34
2024-08-21,27.11,63.33,0.0
2024-08-22,38.13,70.61,0.0
2024-08-23,31.94,56.47,0.14
2024-08-24,21.15,81.14,2.76
2024-08-25,29.84,62.5,0.0
2024-08-26,26.29,52.97,0.0
2024-08-27,32.19,62.79,0.0
2024-08-28,25.45,59.35,0.56
2024-08-29,28.0,70.38,0.0
2024-08-30,30.31,57.39,4.55
2024-08-31,31.59,58.46,15.11
2024-09-01,23.17,50.71,0.0
2024-09-02,26.46,60.72,0.0
2024-09-03,25.74,45.28,0.0
2024-09-04,24.86,52.39,0.0
2024-09-05,34.36,66.87,0.0
2024-09-06,28.76,69.6,9.0
2024-09-07,21.92,69.79,6.44
2024-09-08,30.47,54.8,1.41
2024-09-09,35.12,60.07,2.56
2024-09-10,30.59,62.46,0.0
2024-09-11,20.21,57.89,0.0
2024-09-12,24.18,77.4,0.0
2024-09-13,31.01,69.31,2.76
2024-09-14,22.94,64.16,2.99
2024-09-15,27.38,64.15,8.71
2024-09-16,28.53,65.08,0.0
2024-09-17,21.55,50.22,0.0
2024-09-18,24.85,63.09,2.15
2024-09-19,11.95,65.42,0.0
2024-09-20,20.64,58.95,1.09
2024-09-21,23.56,63.4,1.49
2024-09-22,19.41,,1.83
2024-09-23,30.76,67.54,0.0
2024-09-24,18.33,63.43,0.0
2024-09-25,22.12,70.88,0.0
2024-09-26,24.24,76.54,0.0
2024-09-27,29.31,70.46,0.0
2024-09-28,17.63,68.79,1.32
2024-09-29,27.85,58.54,4.32
2024-09-30,23.07,71.45,0.0
2024-10-01,18.94,70.88,0.0
2024-10-02,24.55,72.37,0.0
2024-10-03,23.33,70.83,0.0
2024-10-04,19.96,75.66,3.58
2024-10-05,22.48,61.85,0.0
2024-10-06,20.49,77.57,0.0
2024-10-07,22.32,67.79,0.0
2024-10-08,24.35,81.89,2.9
2024-10-09,27.89,58.19,1.44
2024-10-10,16.43,82.74,0.0
2024-10-11,29.76,64.44,0.0
2024-10-12,13.26,65.07,2.53
2024-10-13,20.3,63.24,6.4
2024-10-14,23.1,63.29,0.0
2024-10-15,21.72,69.87,3.55
2024-10-16,17.95,72.36,1.16
2024-10-17,19.46,62.91,4.87
2024-10-18,18.17,67.88,19.66
2024-10-19,17.63,85.45,0.54
2024-10-20,23.24,79.61,0.0
2024-10-21,21.12,70.24,7.27
2024-10-22,16.78,69.0,0.0
2024-10-23,23.0,66.86,11.48
